Step,val_acc,val_loss,train_loss,train_acc
0,0.764192759990692,0.760691344738007,1.09088087081909,0.687052369117737
0,0.755680620670319,0.771484792232513,1.09327709674835,0.689347445964813
1,0.787337303161621,0.694399535655975,0.592444121837616,0.80922794342041
2,0.797537803649902,0.702920734882355,0.470642298460007,0.844505548477173
3,0.808371424674988,0.688723742961883,0.37464302778244,0.872878015041351
4,0.809285938739777,0.711824238300324,0.311196446418762,0.892683327198029
5,0.812170267105102,0.742675185203552,0.265496283769608,0.908986568450928
6,0.815195202827454,0.722519636154175,0.243072420358658,0.915089845657349
7,0.813436508178711,0.776537656784058,0.211457446217537,0.926463603973389
8,0.823144555091858,0.725931882858276,0.196915253996849,0.932507336139679
9,0.816742897033691,0.753894925117493,0.188599646091461,0.934513449668884
10,0.82180792093277,0.755897402763367,0.175342321395874,0.938842952251434
11,0.827365458011627,0.759003818035126,0.162830874323845,0.943175971508026
12,0.819205045700073,0.800070643424988,0.158462703227997,0.943690419197082
13,0.81786847114563,0.851178169250488,0.150998145341873,0.947508990764618
14,0.82511430978775,0.800556242465973,0.145346879959106,0.948221266269684
15,0.82891309261322,0.770523369312286,0.140027031302452,0.950674712657928
16,0.828491032123566,0.795793354511261,0.136606901884079,0.951448798179626
17,0.821948647499085,0.860227823257446,0.128112882375717,0.954018414020538
18,0.819978892803192,0.853513062000275,0.127736821770668,0.953164577484131
